,BLA,BLP,MABH,BN,FAR,BD,HBN,AHBH,ABH,DHBH,ABF,CL,RBS,HBFR,BL,LU,SBLU,SLR
210,"I: +37,105.02 to +68,167.29","I: +877.46 to +1,137.65",G: +47.89 to +62.56,J: +37.00 to +389.00,G: +2.90 to +4.06,E: +0.21 to +0.28,J: +11.00 to +113.00,G: +43.06 to +50.20,G: +25.87 to +32.47,H: +5.71 to +11.99,D: +172.15 to +287.72,F: +0.20 to +0.26,D: +0.37 to +0.58,F: +0.00 to +0.50,J: +0.69 to +1.00,B,"A, B, R","primary, secondary, tertiary"
211,"G: +16,208.22 to +25,962.57",G: +575.40 to +705.73,G: +47.89 to +62.56,I: +19.00 to +37.00,H: +4.06 to +5.96,G: +0.33 to +0.39,I: +6.00 to +11.00,G: +43.06 to +50.20,G: +25.87 to +32.47,G: +0.00 to +5.71,E: +287.72 to +376.68,I: +0.39 to +0.49,E: +0.58 to +0.73,G: +0.50 to +0.79,I: +0.53 to +0.69,R,"B, R","secondary, tertiary, residential"
212,"G: +16,208.22 to +25,962.57",G: +575.40 to +705.73,H: +62.56 to +80.48,F: +5.00 to +8.00,I: +5.96 to +9.79,E: +0.21 to +0.28,H: +3.00 to +6.00,I: +60.59 to +73.47,I: +43.58 to +59.04,H: +5.71 to +11.99,H: +602.17 to +800.41,G: +0.26 to +0.33,E: +0.58 to +0.73,H: +0.79 to +1.00,I: +0.53 to +0.69,R,"A, B, R","secondary, residential"
213,"I: +37,105.02 to +68,167.29",H: +705.73 to +877.46,G: +47.89 to +62.56,H: +12.00 to +19.00,G: +2.90 to +4.06,E: +0.21 to +0.28,I: +6.00 to +11.00,G: +43.06 to +50.20,H: +32.47 to +43.58,H: +5.71 to +11.99,H: +602.17 to +800.41,C: +0.00 to +0.04,E: +0.58 to +0.73,G: +0.50 to +0.79,H: +0.44 to +0.53,A,"A, B","trunk, secondary, tertiary, residential"
214,"I: +37,105.02 to +68,167.29","I: +877.46 to +1,137.65",G: +47.89 to +62.56,I: +19.00 to +37.00,E: +1.50 to +2.17,D: +0.08 to +0.21,H: +3.00 to +6.00,F: +0.00 to +43.06,F: +20.19 to +25.87,H: +5.71 to +11.99,F: +376.68 to +466.13,E: +0.12 to +0.20,D: +0.37 to +0.58,G: +0.50 to +0.79,E: +0.22 to +0.28,R,"B, R","trunk, secondary, tertiary, residential"
215,"J: +68,167.29 to +723,844.63","J: +1,137.65 to +5,919.44",J: +100.35 to +338.05,J: +37.00 to +389.00,H: +4.06 to +5.96,E: +0.21 to +0.28,J: +11.00 to +113.00,H: +50.20 to +60.59,H: +32.47 to +43.58,I: +11.99 to +19.31,F: +376.68 to +466.13,F: +0.20 to +0.26,D: +0.37 to +0.58,F: +0.00 to +0.50,F: +0.28 to +0.35,R,"A, B, R","secondary, residential"
216,"J: +68,167.29 to +723,844.63","J: +1,137.65 to +5,919.44",F: +36.00 to +47.89,J: +37.00 to +389.00,E: +1.50 to +2.17,G: +0.33 to +0.39,G: +1.00 to +3.00,F: +0.00 to +43.06,D: +12.32 to +17.74,G: +0.00 to +5.71,F: +376.68 to +466.13,I: +0.39 to +0.49,D: +0.37 to +0.58,H: +0.79 to +1.00,J: +0.69 to +1.00,A,"A, B","trunk, primary, secondary, tertiary, residential"
217,"J: +68,167.29 to +723,844.63","J: +1,137.65 to +5,919.44",J: +100.35 to +338.05,J: +37.00 to +389.00,F: +2.17 to +2.90,E: +0.21 to +0.28,J: +11.00 to +113.00,H: +50.20 to +60.59,F: +20.19 to +25.87,J: +19.31 to +128.65,F: +376.68 to +466.13,F: +0.20 to +0.26,C: +0.00 to +0.37,F: +0.00 to +0.50,E: +0.22 to +0.28,A,"A, B","trunk, secondary, tertiary, residential"
218,"H: +25,962.57 to +37,105.02",H: +705.73 to +877.46,F: +36.00 to +47.89,F: +5.00 to +8.00,E: +1.50 to +2.17,E: +0.21 to +0.28,F: +0.00 to +1.00,F: +0.00 to +43.06,D: +12.32 to +17.74,A: +0.00 to +0.00,"I: +800.41 to +1,173.35",D: +0.04 to +0.12,E: +0.58 to +0.73,A: +0.00 to +0.00,H: +0.44 to +0.53,B,"A, R","trunk, secondary, tertiary, residential"
219,"I: +37,105.02 to +68,167.29","I: +877.46 to +1,137.65",I: +80.48 to +100.35,G: +8.00 to +12.00,I: +5.96 to +9.79,H: +0.39 to +0.47,I: +6.00 to +11.00,H: +50.20 to +60.59,I: +43.58 to +59.04,I: +11.99 to +19.31,"J: +1,173.35 to +23,420.93",E: +0.12 to +0.20,E: +0.58 to +0.73,G: +0.50 to +0.79,I: +0.53 to +0.69,A,"B, R","trunk, secondary, tertiary, residential"
220,"I: +37,105.02 to +68,167.29","I: +877.46 to +1,137.65",G: +47.89 to +62.56,J: +37.00 to +389.00,G: +2.90 to +4.06,G: +0.33 to +0.39,H: +3.00 to +6.00,G: +43.06 to +50.20,E: +17.74 to +20.19,H: +5.71 to +11.99,E: +287.72 to +376.68,G: +0.26 to +0.33,D: +0.37 to +0.58,G: +0.50 to +0.79,J: +0.69 to +1.00,B,"A, R","trunk, secondary, tertiary, residential"
221,"I: +37,105.02 to +68,167.29","I: +877.46 to +1,137.65",F: +36.00 to +47.89,J: +37.00 to +389.00,F: +2.17 to +2.90,F: +0.28 to +0.33,G: +1.00 to +3.00,G: +43.06 to +50.20,E: +17.74 to +20.19,G: +0.00 to +5.71,F: +376.68 to +466.13,H: +0.33 to +0.39,D: +0.37 to +0.58,H: +0.79 to +1.00,J: +0.69 to +1.00,A,"A, R","primary, secondary, tertiary, residential"
222,"D: +4,883.63 to +7,021.92",D: +309.19 to +373.51,E: +20.94 to +36.00,E: +3.00 to +5.00,E: +1.50 to +2.17,D: +0.08 to +0.21,A: +0.00 to +0.00,A: +0.00 to +0.00,G: +25.87 to +32.47,A: +0.00 to +0.00,E: +287.72 to +376.68,D: +0.04 to +0.12,H: +1.00 to +1.00,A: +0.00 to +0.00,I: +0.53 to +0.69,B,R,"secondary, tertiary, residential"
223,"J: +68,167.29 to +723,844.63","J: +1,137.65 to +5,919.44",F: +36.00 to +47.89,I: +19.00 to +37.00,D: +0.40 to +1.50,D: +0.08 to +0.21,F: +0.00 to +1.00,F: +0.00 to +43.06,D: +12.32 to +17.74,A: +0.00 to +0.00,E: +287.72 to +376.68,D: +0.04 to +0.12,D: +0.37 to +0.58,H: +0.79 to +1.00,J: +0.69 to +1.00,A,"A, R","trunk, primary, secondary, tertiary, residential"
224,"I: +37,105.02 to +68,167.29","I: +877.46 to +1,137.65",H: +62.56 to +80.48,J: +37.00 to +389.00,F: +2.17 to +2.90,F: +0.28 to +0.33,I: +6.00 to +11.00,H: +50.20 to +60.59,F: +20.19 to +25.87,H: +5.71 to +11.99,F: +376.68 to +466.13,F: +0.20 to +0.26,D: +0.37 to +0.58,A: +0.00 to +0.00,I: +0.53 to +0.69,R,"A, B, R","primary, secondary, residential"
225,"H: +25,962.57 to +37,105.02","I: +877.46 to +1,137.65",F: +36.00 to +47.89,I: +19.00 to +37.00,F: +2.17 to +2.90,G: +0.33 to +0.39,F: +0.00 to +1.00,G: +43.06 to +50.20,E: +17.74 to +20.19,A: +0.00 to +0.00,F: +376.68 to +466.13,G: +0.26 to +0.33,D: +0.37 to +0.58,A: +0.00 to +0.00,I: +0.53 to +0.69,R,"A, B, R","primary, secondary, tertiary, residential"
226,"B: +1,219.23 to +3,186.09",A: +3.15 to +167.74,E: +20.94 to +36.00,E: +3.00 to +5.00,J: +9.79 to +49.32,J: +0.62 to +0.99,F: +0.00 to +1.00,F: +0.00 to +43.06,G: +25.87 to +32.47,A: +0.00 to +0.00,E: +287.72 to +376.68,I: +0.39 to +0.49,I: +1.00 to +1.00,H: +0.79 to +1.00,H: +0.44 to +0.53,R,R,residential
227,"J: +68,167.29 to +723,844.63","J: +1,137.65 to +5,919.44",H: +62.56 to +80.48,J: +37.00 to +389.00,G: +2.90 to +4.06,G: +0.33 to +0.39,J: +11.00 to +113.00,H: +50.20 to +60.59,H: +32.47 to +43.58,H: +5.71 to +11.99,H: +602.17 to +800.41,H: +0.33 to +0.39,D: +0.37 to +0.58,G: +0.50 to +0.79,J: +0.69 to +1.00,R,"A, R","primary, secondary, tertiary, residential"
228,"E: +7,021.92 to +10,752.29",E: +373.51 to +479.10,G: +47.89 to +62.56,H: +12.00 to +19.00,H: +4.06 to +5.96,G: +0.33 to +0.39,I: +6.00 to +11.00,F: +0.00 to +43.06,H: +32.47 to +43.58,G: +0.00 to +5.71,D: +172.15 to +287.72,G: +0.26 to +0.33,J: +1.00 to +1.00,H: +0.79 to +1.00,H: +0.44 to +0.53,R,"A, R","primary, residential"
229,"C: +3,186.09 to +4,883.63",D: +309.19 to +373.51,G: +47.89 to +62.56,F: +5.00 to +8.00,I: +5.96 to +9.79,I: +0.47 to +0.62,F: +0.00 to +1.00,H: +50.20 to +60.59,F: +20.19 to +25.87,A: +0.00 to +0.00,E: +287.72 to +376.68,I: +0.39 to +0.49,I: +1.00 to +1.00,H: +0.79 to +1.00,H: +0.44 to +0.53,A,"A, R",residential
230,"F: +10,752.29 to +16,208.22",F: +479.10 to +575.40,I: +80.48 to +100.35,F: +5.00 to +8.00,J: +9.79 to +49.32,J: +0.62 to +0.99,H: +3.00 to +6.00,H: +50.20 to +60.59,H: +32.47 to +43.58,I: +11.99 to +19.31,"J: +1,173.35 to +23,420.93",J: +0.49 to +1.40,J: +1.00 to +1.00,H: +0.79 to +1.00,I: +0.53 to +0.69,B,"A, B, G","primary, secondary, tertiary"
231,"G: +16,208.22 to +25,962.57",G: +575.40 to +705.73,F: +36.00 to +47.89,I: +19.00 to +37.00,G: +2.90 to +4.06,I: +0.47 to +0.62,H: +3.00 to +6.00,F: +0.00 to +43.06,E: +17.74 to +20.19,G: +0.00 to +5.71,E: +287.72 to +376.68,I: +0.39 to +0.49,F: +0.73 to +0.86,H: +0.79 to +1.00,H: +0.44 to +0.53,A,"A, G, R","tertiary, residential"
232,"F: +10,752.29 to +16,208.22",E: +373.51 to +479.10,E: +20.94 to +36.00,F: +5.00 to +8.00,G: +2.90 to +4.06,H: +0.39 to +0.47,A: +0.00 to +0.00,A: +0.00 to +0.00,F: +20.19 to +25.87,A: +0.00 to +0.00,H: +602.17 to +800.41,G: +0.26 to +0.33,G: +0.86 to +1.00,A: +0.00 to +0.00,I: +0.53 to +0.69,A,"A, R","tertiary, residential"
233,"H: +25,962.57 to +37,105.02",H: +705.73 to +877.46,E: +20.94 to +36.00,H: +12.00 to +19.00,E: +1.50 to +2.17,F: +0.28 to +0.33,A: +0.00 to +0.00,A: +0.00 to +0.00,E: +17.74 to +20.19,A: +0.00 to +0.00,H: +602.17 to +800.41,F: +0.20 to +0.26,F: +0.73 to +0.86,A: +0.00 to +0.00,H: +0.44 to +0.53,A,"A, B, R","primary, secondary, tertiary, residential"
234,"C: +3,186.09 to +4,883.63",B: +167.74 to +256.79,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,D: +12.32 to +17.74,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,G: +0.35 to +0.44,G,"A, G, R",residential
235,"H: +25,962.57 to +37,105.02",G: +575.40 to +705.73,I: +80.48 to +100.35,H: +12.00 to +19.00,G: +2.90 to +4.06,E: +0.21 to +0.28,H: +3.00 to +6.00,G: +43.06 to +50.20,G: +25.87 to +32.47,I: +11.99 to +19.31,H: +602.17 to +800.41,F: +0.20 to +0.26,E: +0.58 to +0.73,H: +0.79 to +1.00,I: +0.53 to +0.69,A,"B, G, R","secondary, tertiary"
236,"J: +68,167.29 to +723,844.63","J: +1,137.65 to +5,919.44",F: +36.00 to +47.89,J: +37.00 to +389.00,F: +2.17 to +2.90,G: +0.33 to +0.39,H: +3.00 to +6.00,F: +0.00 to +43.06,F: +20.19 to +25.87,G: +0.00 to +5.71,F: +376.68 to +466.13,H: +0.33 to +0.39,E: +0.58 to +0.73,H: +0.79 to +1.00,H: +0.44 to +0.53,R,"A, B, G, R","primary, tertiary, residential"
237,"E: +7,021.92 to +10,752.29",E: +373.51 to +479.10,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,F: +20.19 to +25.87,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,F: +0.28 to +0.35,G,"A, G, R","tertiary, residential"
238,"F: +10,752.29 to +16,208.22",H: +705.73 to +877.46,H: +62.56 to +80.48,G: +8.00 to +12.00,G: +2.90 to +4.06,G: +0.33 to +0.39,H: +3.00 to +6.00,H: +50.20 to +60.59,H: +32.47 to +43.58,I: +11.99 to +19.31,H: +602.17 to +800.41,G: +0.26 to +0.33,F: +0.73 to +0.86,G: +0.50 to +0.79,G: +0.35 to +0.44,B,B,"primary, tertiary, residential"
239,"H: +25,962.57 to +37,105.02",H: +705.73 to +877.46,G: +47.89 to +62.56,G: +8.00 to +12.00,F: +2.17 to +2.90,E: +0.21 to +0.28,G: +1.00 to +3.00,G: +43.06 to +50.20,G: +25.87 to +32.47,H: +5.71 to +11.99,H: +602.17 to +800.41,F: +0.20 to +0.26,F: +0.73 to +0.86,G: +0.50 to +0.79,H: +0.44 to +0.53,B,"A, B, R","primary, tertiary, residential"
240,"B: +1,219.23 to +3,186.09",B: +167.74 to +256.79,F: +36.00 to +47.89,D: +1.00 to +3.00,I: +5.96 to +9.79,I: +0.47 to +0.62,F: +0.00 to +1.00,F: +0.00 to +43.06,H: +32.47 to +43.58,A: +0.00 to +0.00,G: +466.13 to +602.17,H: +0.33 to +0.39,H: +1.00 to +1.00,H: +0.79 to +1.00,H: +0.44 to +0.53,B,"B, R","primary, tertiary"
241,"H: +25,962.57 to +37,105.02",H: +705.73 to +877.46,G: +47.89 to +62.56,I: +19.00 to +37.00,F: +2.17 to +2.90,F: +0.28 to +0.33,H: +3.00 to +6.00,F: +0.00 to +43.06,F: +20.19 to +25.87,G: +0.00 to +5.71,E: +287.72 to +376.68,H: +0.33 to +0.39,F: +0.73 to +0.86,H: +0.79 to +1.00,H: +0.44 to +0.53,R,"A, R","tertiary, residential"
242,"I: +37,105.02 to +68,167.29","J: +1,137.65 to +5,919.44",G: +47.89 to +62.56,J: +37.00 to +389.00,F: +2.17 to +2.90,F: +0.28 to +0.33,I: +6.00 to +11.00,F: +0.00 to +43.06,F: +20.19 to +25.87,G: +0.00 to +5.71,E: +287.72 to +376.68,H: +0.33 to +0.39,E: +0.58 to +0.73,H: +0.79 to +1.00,F: +0.28 to +0.35,R,"A, B, G, R","primary, secondary, tertiary, residential"
243,"G: +16,208.22 to +25,962.57",G: +575.40 to +705.73,I: +80.48 to +100.35,F: +5.00 to +8.00,H: +4.06 to +5.96,D: +0.08 to +0.21,I: +6.00 to +11.00,J: +73.47 to +217.00,J: +59.04 to +176.83,J: +19.31 to +128.65,G: +466.13 to +602.17,D: +0.04 to +0.12,D: +0.37 to +0.58,F: +0.00 to +0.50,F: +0.28 to +0.35,B,"B, G","primary, tertiary, residential"
244,"I: +37,105.02 to +68,167.29","I: +877.46 to +1,137.65",G: +47.89 to +62.56,I: +19.00 to +37.00,G: +2.90 to +4.06,G: +0.33 to +0.39,I: +6.00 to +11.00,G: +43.06 to +50.20,F: +20.19 to +25.87,H: +5.71 to +11.99,H: +602.17 to +800.41,H: +0.33 to +0.39,D: +0.37 to +0.58,G: +0.50 to +0.79,E: +0.22 to +0.28,B,"A, R","primary, residential"
245,"J: +68,167.29 to +723,844.63","I: +877.46 to +1,137.65",F: +36.00 to +47.89,I: +19.00 to +37.00,D: +0.40 to +1.50,E: +0.21 to +0.28,G: +1.00 to +3.00,F: +0.00 to +43.06,E: +17.74 to +20.19,G: +0.00 to +5.71,F: +376.68 to +466.13,H: +0.33 to +0.39,E: +0.58 to +0.73,H: +0.79 to +1.00,G: +0.35 to +0.44,R,"A, B, R",residential
246,"I: +37,105.02 to +68,167.29","I: +877.46 to +1,137.65",F: +36.00 to +47.89,G: +8.00 to +12.00,I: +5.96 to +9.79,I: +0.47 to +0.62,H: +3.00 to +6.00,F: +0.00 to +43.06,G: +25.87 to +32.47,G: +0.00 to +5.71,"J: +1,173.35 to +23,420.93",E: +0.12 to +0.20,F: +0.73 to +0.86,H: +0.79 to +1.00,E: +0.22 to +0.28,B,"B, G, R","primary, secondary, tertiary, residential"
247,"J: +68,167.29 to +723,844.63","I: +877.46 to +1,137.65",I: +80.48 to +100.35,I: +19.00 to +37.00,H: +4.06 to +5.96,G: +0.33 to +0.39,I: +6.00 to +11.00,G: +43.06 to +50.20,H: +32.47 to +43.58,I: +11.99 to +19.31,"I: +800.41 to +1,173.35",F: +0.20 to +0.26,D: +0.37 to +0.58,G: +0.50 to +0.79,I: +0.53 to +0.69,R,"A, B, G, R","primary, secondary, tertiary, residential"
248,"I: +37,105.02 to +68,167.29","I: +877.46 to +1,137.65",F: +36.00 to +47.89,G: +8.00 to +12.00,H: +4.06 to +5.96,G: +0.33 to +0.39,H: +3.00 to +6.00,F: +0.00 to +43.06,F: +20.19 to +25.87,G: +0.00 to +5.71,"I: +800.41 to +1,173.35",H: +0.33 to +0.39,D: +0.37 to +0.58,H: +0.79 to +1.00,H: +0.44 to +0.53,R,"A, B, R","primary, secondary, tertiary, residential"
249,"I: +37,105.02 to +68,167.29","I: +877.46 to +1,137.65",H: +62.56 to +80.48,I: +19.00 to +37.00,H: +4.06 to +5.96,F: +0.28 to +0.33,I: +6.00 to +11.00,G: +43.06 to +50.20,G: +25.87 to +32.47,I: +11.99 to +19.31,H: +602.17 to +800.41,D: +0.04 to +0.12,D: +0.37 to +0.58,G: +0.50 to +0.79,C: +0.11 to +0.17,R,"A, B, G, R","primary, secondary, tertiary, residential"
250,"H: +25,962.57 to +37,105.02",G: +575.40 to +705.73,G: +47.89 to +62.56,I: +19.00 to +37.00,D: +0.40 to +1.50,D: +0.08 to +0.21,I: +6.00 to +11.00,G: +43.06 to +50.20,G: +25.87 to +32.47,H: +5.71 to +11.99,D: +172.15 to +287.72,E: +0.12 to +0.20,E: +0.58 to +0.73,G: +0.50 to +0.79,C: +0.11 to +0.17,A,R,"primary, tertiary, residential"
251,"J: +68,167.29 to +723,844.63","I: +877.46 to +1,137.65",A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,C: +4.58 to +12.32,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,F: +0.28 to +0.35,G,"B, G","primary, secondary, tertiary"
252,"J: +68,167.29 to +723,844.63","J: +1,137.65 to +5,919.44",G: +47.89 to +62.56,J: +37.00 to +389.00,F: +2.17 to +2.90,E: +0.21 to +0.28,J: +11.00 to +113.00,F: +0.00 to +43.06,G: +25.87 to +32.47,H: +5.71 to +11.99,G: +466.13 to +602.17,F: +0.20 to +0.26,E: +0.58 to +0.73,G: +0.50 to +0.79,E: +0.22 to +0.28,R,"B, R","primary, secondary, tertiary, residential"
253,"F: +10,752.29 to +16,208.22",F: +479.10 to +575.40,G: +47.89 to +62.56,G: +8.00 to +12.00,G: +2.90 to +4.06,E: +0.21 to +0.28,G: +1.00 to +3.00,G: +43.06 to +50.20,G: +25.87 to +32.47,H: +5.71 to +11.99,F: +376.68 to +466.13,F: +0.20 to +0.26,J: +1.00 to +1.00,H: +0.79 to +1.00,C: +0.11 to +0.17,R,R,"primary, secondary, residential"
254,"J: +68,167.29 to +723,844.63","J: +1,137.65 to +5,919.44",A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,D: +12.32 to +17.74,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,D: +0.17 to +0.22,G,"B, G, R","secondary, tertiary"
255,"H: +25,962.57 to +37,105.02","I: +877.46 to +1,137.65",H: +62.56 to +80.48,G: +8.00 to +12.00,I: +5.96 to +9.79,I: +0.47 to +0.62,I: +6.00 to +11.00,G: +43.06 to +50.20,H: +32.47 to +43.58,H: +5.71 to +11.99,"J: +1,173.35 to +23,420.93",H: +0.33 to +0.39,G: +0.86 to +1.00,H: +0.79 to +1.00,C: +0.11 to +0.17,R,"A, R","primary, secondary, residential"
256,"J: +68,167.29 to +723,844.63","J: +1,137.65 to +5,919.44",H: +62.56 to +80.48,J: +37.00 to +389.00,E: +1.50 to +2.17,D: +0.08 to +0.21,I: +6.00 to +11.00,H: +50.20 to +60.59,F: +20.19 to +25.87,H: +5.71 to +11.99,E: +287.72 to +376.68,D: +0.04 to +0.12,D: +0.37 to +0.58,F: +0.00 to +0.50,H: +0.44 to +0.53,R,"G, R","primary, secondary, tertiary, residential"
257,"I: +37,105.02 to +68,167.29","I: +877.46 to +1,137.65",I: +80.48 to +100.35,G: +8.00 to +12.00,F: +2.17 to +2.90,E: +0.21 to +0.28,H: +3.00 to +6.00,H: +50.20 to +60.59,H: +32.47 to +43.58,I: +11.99 to +19.31,"I: +800.41 to +1,173.35",F: +0.20 to +0.26,J: +1.00 to +1.00,H: +0.79 to +1.00,B: +0.06 to +0.11,R,"A, R",residential
258,"J: +68,167.29 to +723,844.63","I: +877.46 to +1,137.65",H: +62.56 to +80.48,J: +37.00 to +389.00,F: +2.17 to +2.90,D: +0.08 to +0.21,J: +11.00 to +113.00,G: +43.06 to +50.20,H: +32.47 to +43.58,H: +5.71 to +11.99,E: +287.72 to +376.68,D: +0.04 to +0.12,C: +0.00 to +0.37,F: +0.00 to +0.50,B: +0.06 to +0.11,R,"A, B, G, R","primary, secondary, tertiary, residential"
259,"H: +25,962.57 to +37,105.02",H: +705.73 to +877.46,G: +47.89 to +62.56,G: +8.00 to +12.00,F: +2.17 to +2.90,D: +0.08 to +0.21,G: +1.00 to +3.00,G: +43.06 to +50.20,G: +25.87 to +32.47,H: +5.71 to +11.99,H: +602.17 to +800.41,C: +0.00 to +0.04,E: +0.58 to +0.73,G: +0.50 to +0.79,E: +0.22 to +0.28,B,"B, G, R","primary, secondary, tertiary, residential"
260,"H: +25,962.57 to +37,105.02",H: +705.73 to +877.46,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,F: +20.19 to +25.87,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,G: +0.35 to +0.44,G,"B, G, R","primary, tertiary, residential"
261,"F: +10,752.29 to +16,208.22",E: +373.51 to +479.10,F: +36.00 to +47.89,F: +5.00 to +8.00,G: +2.90 to +4.06,G: +0.33 to +0.39,F: +0.00 to +1.00,F: +0.00 to +43.06,F: +20.19 to +25.87,A: +0.00 to +0.00,H: +602.17 to +800.41,H: +0.33 to +0.39,J: +1.00 to +1.00,H: +0.79 to +1.00,A: +0.00 to +0.06,A,R,residential
262,"I: +37,105.02 to +68,167.29","I: +877.46 to +1,137.65",H: +62.56 to +80.48,H: +12.00 to +19.00,I: +5.96 to +9.79,H: +0.39 to +0.47,J: +11.00 to +113.00,H: +50.20 to +60.59,I: +43.58 to +59.04,H: +5.71 to +11.99,"I: +800.41 to +1,173.35",G: +0.26 to +0.33,G: +0.86 to +1.00,H: +0.79 to +1.00,A: +0.00 to +0.06,R,"A, R","primary, secondary, tertiary, residential"
263,"J: +68,167.29 to +723,844.63","J: +1,137.65 to +5,919.44",A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,C: +4.58 to +12.32,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,J: +0.69 to +1.00,G,"A, B, G, R","trunk, primary, secondary, tertiary"
264,"H: +25,962.57 to +37,105.02",H: +705.73 to +877.46,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,F: +20.19 to +25.87,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,A: +0.00 to +0.00,H: +0.44 to +0.53,G,"G, R","tertiary, residential"
265,"H: +25,962.57 to +37,105.02",H: +705.73 to +877.46,E: +20.94 to +36.00,H: +12.00 to +19.00,G: +2.90 to +4.06,G: +0.33 to +0.39,F: +0.00 to +1.00,F: +0.00 to +43.06,F: +20.19 to +25.87,A: +0.00 to +0.00,"I: +800.41 to +1,173.35",G: +0.26 to +0.33,E: +0.58 to +0.73,H: +0.79 to +1.00,I: +0.53 to +0.69,R,"B, G, R","primary, tertiary, residential"
266,"G: +16,208.22 to +25,962.57",G: +575.40 to +705.73,E: +20.94 to +36.00,H: +12.00 to +19.00,F: +2.17 to +2.90,H: +0.39 to +0.47,A: +0.00 to +0.00,A: +0.00 to +0.00,D: +12.32 to +17.74,A: +0.00 to +0.00,F: +376.68 to +466.13,H: +0.33 to +0.39,F: +0.73 to +0.86,A: +0.00 to +0.00,D: +0.17 to +0.22,R,"A, B, R",residential
267,"C: +3,186.09 to +4,883.63",C: +256.79 to +309.19,D: +12.00 to +20.94,E: +3.00 to +5.00,F: +2.17 to +2.90,I: +0.47 to +0.62,A: +0.00 to +0.00,A: +0.00 to +0.00,D: +12.32 to +17.74,A: +0.00 to +0.00,G: +466.13 to +602.17,I: +0.39 to +0.49,H: +1.00 to +1.00,A: +0.00 to +0.00,C: +0.11 to +0.17,B,"A, R",residential
268,"F: +10,752.29 to +16,208.22",F: +479.10 to +575.40,H: +62.56 to +80.48,G: +8.00 to +12.00,H: +4.06 to +5.96,F: +0.28 to +0.33,I: +6.00 to +11.00,H: +50.20 to +60.59,H: +32.47 to +43.58,I: +11.99 to +19.31,E: +287.72 to +376.68,F: +0.20 to +0.26,G: +0.86 to +1.00,H: +0.79 to +1.00,A: +0.00 to +0.06,R,"A, R","primary, secondary, residential"
269,"D: +4,883.63 to +7,021.92",D: +309.19 to +373.51,F: +36.00 to +47.89,F: +5.00 to +8.00,H: +4.06 to +5.96,H: +0.39 to +0.47,F: +0.00 to +1.00,F: +0.00 to +43.06,F: +20.19 to +25.87,A: +0.00 to +0.00,E: +287.72 to +376.68,H: +0.33 to +0.39,J: +1.00 to +1.00,H: +0.79 to +1.00,C: +0.11 to +0.17,R,"B, R",residential
270,"G: +16,208.22 to +25,962.57","I: +877.46 to +1,137.65",H: +62.56 to +80.48,H: +12.00 to +19.00,G: +2.90 to +4.06,E: +0.21 to +0.28,I: +6.00 to +11.00,H: +50.20 to +60.59,I: +43.58 to +59.04,H: +5.71 to +11.99,F: +376.68 to +466.13,E: +0.12 to +0.20,G: +0.86 to +1.00,H: +0.79 to +1.00,A: +0.00 to +0.06,R,"A, R","secondary, residential"
271,"F: +10,752.29 to +16,208.22",G: +575.40 to +705.73,E: +20.94 to +36.00,G: +8.00 to +12.00,G: +2.90 to +4.06,H: +0.39 to +0.47,A: +0.00 to +0.00,A: +0.00 to +0.00,D: +12.32 to +17.74,A: +0.00 to +0.00,G: +466.13 to +602.17,H: +0.33 to +0.39,J: +1.00 to +1.00,A: +0.00 to +0.00,E: +0.22 to +0.28,A,"A, B, R","tertiary, residential"
